BACT_CONCENTR,BACT_GRP,EVENT
14.0,Gm+ Rods,ARFW01980309
35.0,Unknown,ARFW01980309
7.0,Bacillus,ARFW01980309
28.0,Gm+ Cocci,ARFW01980309
78.0,Unknown,ARFW01980309
18.0,Bacillus,ARFW01980309
53.0,Unknown,ARFW01980309
35.0,Gm+ Rods,ARFW01980309
35.0,Unknown,ARFW01980309
14.0,Gm+ Cocci,ARFW01980309
14.0,Unknown,ARFW01980309
18.0,Gm+ Cocci,ARFW01980309
18.0,Unknown,ARFW01980309
18.0,Unknown,ARFW01980309
7.0,Gm+ Cocci,ARFW01980309
7.0,Unknown,ARFW01980309
7.0,Gm+ Cocci,ARFW01980309
28.0,Unknown,ARFW01980309
7.0,Gm+ Cocci,ARFW01980309
7.0,Unknown,ARFW01980309
18.0,Unknown,ARFW01980309
18.0,Gm+ Cocci,ARFW01980309
7.0,Gm+ Cocci,ARFW01980309
18.0,Gm+ Cocci,ARFW01980309
7.0,Bacillus,ARFW01980309
14.0,Gm+ Cocci,ARFW01980309
28.0,Unknown,ARFW01980309
18.0,Gm+ Cocci,ARFW01980309
14.0,Gm- Rods,ARFW01980309
21.0,Unknown,ARFW01980309
7.0,Bacillus,ARFW01980309
14.0,Gm+ Rods,ARFW01980309
21.0,Unknown,ARFW01980309
35.0,Unknown,ARFW01980309
18.0,Gm+ Rods,ARFW01980309
53.0,Unknown,ARFW01980309
7.0,Unknown,ARFW01980309
7.0,Bacillus,ARFW01980309
18.0,Actinos,ARFW01980309
28.0,Gm+ Cocci,ARFW02980316
21.0,Unknown,ARFW02980316
15.0,Gm+ Rods,ARFW02980316
141.0,Unknown,ARFW02980316
18.0,Gm+ Cocci,ARFW02980316
18.0,Gm+ Rods,ARFW02980316
88.0,Unknown,ARFW02980316
18.0,Unknown,ARFW02980316
37.0,Bacillus,ARFW02980316
37.0,Gm+ Cocci,ARFW02980316
350.0,Unknown,ARFW02980316
30.0,Gm+ Cocci,ARFW02980316
44.0,Gm+ Rods,ARFW02980316
237.0,Unknown,ARFW02980316
7.0,Bacillus,ARFW02980316
22.0,Gm+ Cocci,ARFW02980316
154.0,Unknown,ARFW02980316
