A1SITE1,A1SITE2,A1FLR1A,A1YEAR,EVENT
SUBURBAN,RESIDENTIAL,MULTIUSE,1965.0,ARFW01980309
URBAN,COMMERCIAL,MECHANICAL,1909.0,ARFW02980316
SUBURBAN,COMMERCIAL,STORAGE,1967.0,ARFW03980323
SUBURBAN,COMMERCIAL,MULTIUSE,1983.0,AZHS02950612
SUBURBAN,COMMERCIAL,OFFICE,1980.0,AZHS04950605
URBAN,COMMERCIAL,MECHANICAL,1959.0,AZHW10970210
URBAN,COMMERCIAL,STORAGE,1950.0,AZHW11970127
URBAN,COMMERCIAL,MECHANICAL,1990.0,AZHW12970203
URBAN,RESIDENTIAL,OFFICE,1942.0,CAES17960909
URBAN,RESIDENTIAL,OFFICE,1962.0,CAEW07950327
URBAN,COMMERCIAL,OTHER,1963.0,CAEW09950320
URBAN,COMMERCIAL,RETAIL,1889.0,CAJS01940718
URBAN,COMMERCIAL,MECHANICAL,1954.0,CAJS02940711
URBAN,COMMERCIAL,OFFICE,1966.0,CAJS03940725
URBAN,COMMERCIAL,MULTIUSE,1955.0,CAJS21970915
SUBURBAN,RESIDENTIAL,OFFICE,1993.0,CAJS22970922
URBAN,COMMERCIAL,MULTIUSE,1971.0,CAJS23970908
URBAN,COMMERCIAL,PARKING,1982.0,CAJW18970303
SUBURBAN,COMMERCIAL,OFFICE,1963.0,CAJW19970310
URBAN,COMMERCIAL,PARKING,1996.0,CAJW20970224
URBAN,COMMERCIAL,Office,1941.0,CAJW24980309
URBAN,COMMERCIAL,MULTIUSE,1970.0,CAJW25980323
URBAN,COMMERCIAL,MULTIUSE,1976.0,CAJW26980316
URBAN,COMMERCIAL,OFFICE,1983.0,COAS02960805
URBAN,COMMERCIAL,PARKING,1987.0,COAS04960812
URBAN,COMMERCIAL,PARKING,1973.0,COAS06960819
URBAN,COMMERCIAL,MULTIUSE,1965.0,FLDW07980126
RURAL,NEAR URBAN,OFFICE,1982.0,FLDW08980209
URBAN,COMMERCIAL,PARKING,1982.0,FLDW10980202
URBAN,NEAR URBAN,OTHER,1982.0,FLGS01950626
URBAN,COMMERCIAL,OFFICE,1967.0,FLGS04950619
URBAN,COMMERCIAL,MULTIUSE,1982.0,FLGS11980914
SUBURBAN,RESIDENTIAL,OFFICE,1969.0,FLGS12980921
URBAN,COMMERCIAL,OFFICE,1989.0,GADS01970714
URBAN,NEAR URBAN,RETAIL,1990.0,GADS02970721
SUBURBAN,OTHER,STORAGE,1984.0,GADS03970728
URBAN,COMMERCIAL,STORAGE,1906.0,ILBS01980824
URBAN,COMMERCIAL,MECHANICAL,1924.0,ILBS02980817
URBAN,COMMERCIAL,OTHER,1904.0,ILBS03980831
URBAN,COMMERCIAL,OTHER,1980.0,LAGW04950116
URBAN,COMMERCIAL,MULTIUSE,1959.0,LAGW05950123
URBAN,COMMERCIAL,MECHANICAL,1979.0,LAGW06950130
URBAN,COMMERCIAL,OFFICE,1986.0,MABW05961202
URBAN,COMMERCIAL,STORAGE,1922.0,MABW06961216
URBAN,COMMERCIAL,OFFICE,1972.0,MABW08961209
URBAN,COMMERCIAL,VACANT,1931.0,MDDS01970721
URBAN,RESIDENTIAL,MULTIUSE,1959.0,MDDS03970714
URBAN,COMMERCIAL,MECHANICAL,1850.0,MDDS04970728
SUBURBAN,COMMERCIAL,OFFICE,1985.0,MIBW01970203
SUBURBAN,RESIDENTIAL,OTHER,1984.0,MIBW03970127
URBAN,COMMERCIAL,STORAGE,1965.0,MIBW04970210
URBAN,COMMERCIAL,VACANT,1987.0,MNBW01940328
URBAN,COMMERCIAL,MECHANICAL,1905.0,MNBW02940321
URBAN,COMMERCIAL,MULTIUSE,1977.0,MNBW04940404
SUBURBAN,COMMERCIAL,PARKING,1974.0,MOCS01940801
SUBURBAN,RESIDENTIAL,OFFICE,1989.0,MOCS05940808
URBAN,COMMERCIAL,PARKING,1974.0,NCDW02971215
URBAN,COMMERCIAL,STORAGE,1969.0,NCDW03971208
RURAL,NEAR URBAN,MECHANICAL,1989.0,NCDW06971201
URBAN,COMMERCIAL,MECHANICAL,1974.0,NECW01960325
URBAN,RESIDENTIAL,OTHER,1938.0,NECW02960311
URBAN,COMMERCIAL,OFFICE,1969.0,NECW03960318
URBAN,COMMERCIAL,OFFICE,1984.0,NMES01980713
SUBURBAN,COMMERCIAL,OFFICE,1948.0,NMES02980720
SUBURBAN,COMMERCIAL,Office,1982.0,NMES03980706
URBAN,COMMERCIAL,OFFICE,1974.0,NVAW01950306
URBAN,COMMERCIAL,PARKING,1986.0,NVAW02950227
URBAN,COMMERCIAL,STORAGE,1870.0,NVAW03950313
URBAN,COMMERCIAL,PARKING,1973.0,NYBS01970623
SUBURBAN,RESIDENTIAL,STORAGE,1966.0,NYBS02970609
URBAN,COMMERCIAL,STORAGE,1892.0,NYBS04970616
URBAN,RESIDENTIAL,OFFICE,1933.0,NYBS05980608
URBAN,COMMERCIAL,OTHER,1931.0,NYBS06980615
SUBURBAN,COMMERCIAL,OFFICE,1965.0,NYBS07980622
URBAN,COMMERCIAL,MULTIUSE,1896.0,ORIS02940829
URBAN,INDUSTRIAL,MULTIUSE,1965.0,ORIS03940815
URBAN,COMMERCIAL,OTHER,1915.0,ORIS04940822
URBAN,COMMERCIAL,PARKING,1963.0,PABS03950717
SUBURBAN,COMMERCIAL,OTHER,1972.0,PABS04950710
URBAN,COMMERCIAL,OTHER,1890.0,SCDW01950206
URBAN,COMMERCIAL,MECHANICAL,1965.0,SCDW02950213
SUBURBAN,RESIDENTIAL,OFFICE,1983.0,SDBW01980105
SUBURBAN,RESIDENTIAL,OFFICE,1908.0,SDBW02980119
RURAL,AGRICULTURAL,MULTIUSE,1973.0,SDBW04980112
SUBURBAN,OTHER,MULTIUSE,1958.0,TNDS05960715
URBAN,COMMERCIAL,PARKING,1976.0,TNDS06960722
URBAN,COMMERCIAL,PARKING,1920.0,TNDS07960729
URBAN,RESIDENTIAL,MULTIUSE,1983.0,TNFS08970825
URBAN,COMMERCIAL,Storage,1938.0,TNFS09970811
SUBURBAN,COMMERCIAL,Assembly,1990.0,TNFS10970818
SUBURBAN,INDUSTRIAL,PARKING,1991.0,TXFS01940627
SUBURBAN,INDUSTRIAL,OFFICE,1983.0,TXFS02940620
URBAN,COMMERCIAL,MULTIUSE,1986.0,TXFS07980810
