FUNG_CONCENTR,FUNG_GRP,EVENT
7.0,CLADOSPORIUM,ARFW01980309
14.0,NON-SPORULATING,ARFW01980309
7.0,PENICILLIUM,ARFW01980309
7.0,CLADOSPORIUM,ARFW01980309
7.0,NON-SPORULATING,ARFW01980309
7.0,PENICILLIUM,ARFW01980309
7.0,ASPERGILLUS VERSICOLOR,ARFW01980309
21.0,CLADOSPORIUM,ARFW01980309
7.0,CUNNINGHAMELLA,ARFW01980309
14.0,NON-SPORULATING,ARFW01980309
7.0,PENICILLIUM,ARFW01980309
7.0,YEAST,ARFW01980309
14.0,BOTRYTIS,ARFW01980309
28.0,CLADOSPORIUM,ARFW01980309
21.0,NON-SPORULATING,ARFW01980309
7.0,PENICILLIUM,ARFW01980309
7.0,YEAST,ARFW01980309
28.0,NON-SPORULATING,ARFW01980309
7.0,PENICILLIUM,ARFW01980309
7.0,CLADOSPORIUM,ARFW01980309
7.0,ASPERGILLUS OTHER,ARFW01980309
7.0,CLADOSPORIUM,ARFW01980309
42.0,NON-SPORULATING,ARFW01980309
7.0,TRICHODERMA,ARFW01980309
7.0,ALTERNARIA,ARFW01980309
7.0,ASPERGILLUS VERSICOLOR,ARFW01980309
7.0,AUREOBASIDIUM,ARFW01980309
21.0,CLADOSPORIUM,ARFW01980309
28.0,NON-SPORULATING,ARFW01980309
7.0,PAECILOMYCES,ARFW01980309
14.0,PENICILLIUM,ARFW01980309
7.0,YEAST,ARFW01980309
14.0,ARTHROSPORES,ARFW01980309
18.0,CLADOSPORIUM,ARFW01980309
18.0,NON-SPORULATING,ARFW01980309
18.0,NON-SPORULATING,ARFW01980309
18.0,ARTHROSPORES,ARFW01980309
18.0,CLADOSPORIUM,ARFW01980309
18.0,PENICILLIUM,ARFW01980309
35.0,BOTRYTIS,ARFW01980309
35.0,UNKNOWN,ARFW01980309
18.0,CLADOSPORIUM,ARFW01980309
18.0,NON-SPORULATING,ARFW01980309
18.0,ARTHROSPORES,ARFW01980309
18.0,NON-SPORULATING,ARFW01980309
18.0,NON-SPORULATING,ARFW01980309
35.0,NON-SPORULATING,ARFW01980309
35.0,PAECILOMYCES,ARFW01980309
18.0,PENICILLIUM,ARFW01980309
18.0,UNKNOWN,ARFW01980309
106.0,ARTHROSPORES,ARFW01980309
35.0,NON-SPORULATING,ARFW01980309
18.0,PAECILOMYCES,ARFW01980309
18.0,ARTHROSPORES,ARFW01980309
15.0,ALTERNARIA,ARFW02980316
7.0,AUREOBASIDIUM,ARFW02980316
7.0,BOTRYTIS,ARFW02980316
59.0,CLADOSPORIUM,ARFW02980316
88.0,NON-SPORULATING,ARFW02980316
15.0,PENICILLIUM,ARFW02980316
88.0,CLADOSPORIUM,ARFW02980316
96.0,NON-SPORULATING,ARFW02980316
14.0,ALTERNARIA,ARFW02980316
7.0,AUREOBASIDIUM,ARFW02980316
57.0,NON-SPORULATING,ARFW02980316
35.0,NON-SPORULATING,ARFW02980316
14.0,PENICILLIUM,ARFW02980316
14.0,YEAST,ARFW02980316
7.0,CLADOSPORIUM,ARFW02980316
21.0,NON-SPORULATING,ARFW02980316
14.0,PENICILLIUM,ARFW02980316
7.0,YEAST,ARFW02980316
14.0,CLADOSPORIUM,ARFW02980316
42.0,NON-SPORULATING,ARFW02980316
7.0,ALTERNARIA,ARFW02980316
21.0,NON-SPORULATING,ARFW02980316
14.0,CLADOSPORIUM,ARFW02980316
7.0,NON-SPORULATING,ARFW02980316
7.0,PENICILLIUM,ARFW02980316
28.0,CLADOSPORIUM,ARFW02980316
14.0,NON-SPORULATING,ARFW02980316
21.0,CLADOSPORIUM,ARFW02980316
7.0,NON-SPORULATING,ARFW02980316
7.0,PENICILLIUM,ARFW02980316
7.0,ALTERNARIA,ARFW02980316
82.0,CLADOSPORIUM,ARFW02980316
201.0,NON-SPORULATING,ARFW02980316
82.0,CLADOSPORIUM,ARFW02980316
186.0,NON-SPORULATING,ARFW02980316
71.0,CLADOSPORIUM,ARFW02980316
177.0,NON-SPORULATING,ARFW02980316
18.0,PENICILLIUM,ARFW02980316
53.0,CLADOSPORIUM,ARFW02980316
212.0,NON-SPORULATING,ARFW02980316
18.0,CLADOSPORIUM,ARFW02980316
53.0,NON-SPORULATING,ARFW02980316
18.0,PENICILLIUM,ARFW02980316
18.0,ALTERNARIA,ARFW02980316
18.0,NON-SPORULATING,ARFW02980316
18.0,PENICILLIUM,ARFW02980316
18.0,YEAST,ARFW02980316
18.0,CLADOSPORIUM,ARFW02980316
35.0,NON-SPORULATING,ARFW02980316
18.0,ASPERGILLUS VERSICOLOR,ARFW02980316
35.0,NON-SPORULATING,ARFW02980316
18.0,YEAST,ARFW02980316
18.0,NON-SPORULATING,ARFW02980316
35.0,NON-SPORULATING,ARFW02980316
18.0,PENICILLIUM,ARFW02980316
18.0,YEAST,ARFW02980316
18.0,EPICOCCUM,ARFW02980316
18.0,NON-SPORULATING,ARFW02980316
35.0,PENICILLIUM,ARFW02980316
18.0,CLADOSPORIUM,ARFW02980316
265.0,NON-SPORULATING,ARFW02980316
18.0,PENICILLIUM,ARFW02980316
18.0,AUREOBASIDIUM,ARFW02980316
18.0,CLADOSPORIUM,ARFW02980316
212.0,NON-SPORULATING,ARFW02980316
7.0,ALTERNARIA,ARFW03980323
126.0,CLADOSPORIUM,ARFW03980323
8.0,COELOMYCETES,ARFW03980323
7.0,FUSARIUM,ARFW03980323
96.0,NON-SPORULATING,ARFW03980323
22.0,PENICILLIUM,ARFW03980323
