COMPOUND,VOC_CONCENT1,VOC_CONCENT2,EVENT
DICHLORODIFLUOROMETHANE,8.7,1.8,ARFW01980309
CHLOROMETHANE,2.6,1.3,ARFW01980309
ACETONE,26.2,11.0,ARFW01980309
METHYLENE CHLORIDE,2.9,0.8,ARFW01980309
2-BUTANONE (Methyl-ethyl-ketone (MEK)),2.5,0.9,ARFW01980309
3-METHYL PENTANE,2.7,0.8,ARFW01980309
ETHYL ACETATE,2.1,0.6,ARFW01980309
n-HEXANE,7.2,2.0,ARFW01980309
"1,1,1-TRICHLOROETHANE",4.0,0.7,ARFW01980309
BENZENE,1.9,0.6,ARFW01980309
TRICHLOROETHENE,19.9,3.7,ARFW01980309
TOLUENE,9.5,2.5,ARFW01980309
n-OCTANE,1.0,0.2,ARFW01980309
TETRACHLOROETHENE,16.2,2.4,ARFW01980309
NONANE,1.1,0.2,ARFW01980309
n-DECANE,18.2,3.1,ARFW01980309
"1,2,4-TRIMETHYLBENZENE",1.1,0.2,ARFW01980309
d-LIMONENE,11.3,2.0,ARFW01980309
n-UNDECANE,16.7,2.6,ARFW01980309
n-DODECANE,7.6,1.1,ARFW01980309
DICHLORODIFLUOROMETHANE,6.1,1.2,ARFW01980309
CHLOROMETHANE,3.4,1.7,ARFW01980309
ACETONE,41.4,17.5,ARFW01980309
2-BUTANONE (Methyl-ethyl-ketone (MEK)),4.4,1.5,ARFW01980309
ETHYL ACETATE,3.1,0.9,ARFW01980309
n-HEXANE,6.5,1.9,ARFW01980309
"1,1,1-TRICHLOROETHANE",4.4,0.8,ARFW01980309
BENZENE,2.4,0.8,ARFW01980309
TRICHLOROETHENE,7.4,1.4,ARFW01980309
TOLUENE,9.5,2.5,ARFW01980309
n-OCTANE,2.4,0.5,ARFW01980309
TETRACHLOROETHENE,6.8,1.0,ARFW01980309
NONANE,3.4,0.7,ARFW01980309
n-DECANE,52.3,9.0,ARFW01980309
"1,2,4-TRIMETHYLBENZENE",1.5,0.3,ARFW01980309
d-LIMONENE,14.6,2.6,ARFW01980309
n-UNDECANE,26.1,4.1,ARFW01980309
n-DODECANE,5.8,0.8,ARFW01980309
DICHLORODIFLUOROMETHANE,8.9,1.8,ARFW01980309
CHLOROMETHANE,2.7,1.3,ARFW01980309
ACETONE,42.0,17.7,ARFW01980309
METHYLENE CHLORIDE,3.2,0.9,ARFW01980309
2-BUTANONE (Methyl-ethyl-ketone (MEK)),4.2,1.4,ARFW01980309
3-METHYL PENTANE,2.9,0.8,ARFW01980309
ETHYL ACETATE,2.2,0.6,ARFW01980309
