DATE,TIME,TEMP,DEWPOINT,RH,PRESSURE,EVENT
1995-06-12,3360.0,41.0,1.0,9.0,756.9,AZHS02950612
1995-06-12,6960.0,41.0,1.0,8.0,757.2,AZHS02950612
1995-06-12,10560.0,38.0,1.0,10.0,757.2,AZHS02950612
1995-06-12,14160.0,35.0,3.0,14.0,757.4,AZHS02950612
1995-06-12,17760.0,34.0,4.0,16.0,757.7,AZHS02950612
1995-06-12,21360.0,32.0,6.0,20.0,757.7,AZHS02950612
1995-06-12,21360.0,32.0,6.0,20.0,757.7,AZHS02950612
1995-06-12,24960.000000000004,30.0,6.0,22.0,757.9,AZHS02950612
1995-06-12,28560.0,29.0,7.0,25.0,757.9,AZHS02950612
1995-06-12,32160.0,30.0,4.0,20.0,758.2,AZHS02950612
1995-06-12,35760.0,26.0,7.0,29.0,758.2,AZHS02950612
1995-06-12,39360.0,26.0,4.0,24.0,758.4,AZHS02950612
1995-06-12,42960.0,25.0,1.0,21.0,758.7,AZHS02950612
1995-06-12,46560.0,26.0,3.0,23.0,759.2,AZHS02950612
1995-06-12,50160.00000000001,27.0,2.0,19.0,760.0,AZHS02950612
1995-06-12,53760.0,31.0,3.0,17.0,760.2,AZHS02950612
1995-06-12,57360.0,33.0,3.0,16.0,760.2,AZHS02950612
1995-06-12,60960.00000000001,35.0,4.0,14.0,760.0,AZHS02950612
1995-06-12,64560.0,38.0,5.0,13.0,760.0,AZHS02950612
1995-06-12,68160.0,40.0,6.0,13.0,759.5,AZHS02950612
1995-06-12,71760.0,41.0,6.0,12.0,758.7,AZHS02950612
1995-06-12,75360.0,42.0,6.0,11.0,758.2,AZHS02950612
1995-06-12,78960.0,42.0,6.0,12.0,757.7,AZHS02950612
1995-06-12,82560.0,42.0,8.0,13.0,757.2,AZHS02950612
1995-06-13,3360.0,42.0,7.0,12.0,761.2,AZHS02950612
1995-06-13,6960.0,41.0,7.0,13.0,756.7,AZHS02950612
1995-06-13,10560.0,38.0,7.0,15.0,756.7,AZHS02950612
1995-06-13,14160.0,37.0,8.0,17.0,756.9,AZHS02950612
1995-06-13,17760.0,36.0,9.0,20.0,757.4,AZHS02950612
1995-06-13,21360.0,35.0,6.0,16.0,757.4,AZHS02950612
1995-06-13,24960.000000000004,33.0,6.0,18.0,757.4,AZHS02950612
1995-06-13,28560.0,32.0,5.0,19.0,757.7,AZHS02950612
1995-06-13,32160.0,29.0,6.0,22.0,757.7,AZHS02950612
1995-06-13,35760.0,27.0,6.0,25.0,757.7,AZHS02950612
1995-06-13,39360.0,28.0,7.0,26.0,758.2,AZHS02950612
1995-06-13,39360.0,28.0,0.0,17.0,758.2,AZHS02950612
1995-06-13,42960.0,27.0,-1.0,17.0,758.4,AZHS02950612
1995-06-13,46560.0,26.0,1.0,20.0,759.2,AZHS02950612
1995-06-13,50160.00000000001,29.0,2.0,18.0,759.7,AZHS02950612
1995-06-13,53760.0,30.0,0.0,15.0,760.0,AZHS02950612
1995-06-13,57360.0,33.0,1.0,13.0,760.2,AZHS02950612
1995-06-13,60960.00000000001,35.0,1.0,11.0,760.0,AZHS02950612
1995-06-13,64560.0,37.0,-1.0,10.0,759.7,AZHS02950612
1995-06-13,71760.0,39.0,2.0,10.0,758.7,AZHS02950612
1995-06-13,75360.0,40.0,3.0,10.0,757.9,AZHS02950612
1995-06-13,78960.0,41.0,4.0,10.0,757.2,AZHS02950612
1995-06-13,48383.99999999989,41.0,3.0,10.0,756.7,AZHS02950612
1995-06-14,3360.0,41.0,3.0,10.0,755.9,AZHS02950612
1995-06-14,6960.0,39.0,3.0,11.0,755.9,AZHS02950612
1995-06-14,10560.0,37.0,2.0,11.0,756.2,AZHS02950612
1995-06-14,14160.0,37.0,2.0,11.0,756.4,AZHS02950612
1995-06-14,17760.0,36.0,-1.0,10.0,756.7,AZHS02950612
1995-06-14,21360.0,34.0,-1.0,11.0,756.9,AZHS02950612
1995-06-14,24960.000000000004,32.0,-1.0,12.0,757.2,AZHS02950612
1995-06-14,28560.0,31.0,-4.0,10.0,757.2,AZHS02950612
1995-06-14,32160.0,29.0,-4.0,11.0,757.4,AZHS02950612
1995-06-14,35760.0,28.0,-1.0,15.0,757.7,AZHS02950612
1995-06-14,39360.0,27.0,2.0,20.0,757.7,AZHS02950612
